classifier_name,dataset_name,accuracy
PrevWeek,8389,"0,248162539230697"
PrevWeek,47711,"0,231617766628521"
PrevWeek,21532,"0,149817057564734"
PrevWeek,45806,"0,145221011709754"
PrevWeek,38899,"0,278492800321386"
PrevWeek,48747,"0,300551946026794"
PrevWeek,41416,"0,170037395007946"
PrevWeek,40158,"0,125000435011563"
PrevWeek,32616,"0,173714121717799"
PrevWeek,17115,"0,175551719521601"
PrevWeek,38452,"0,163603573403491"
PrevWeek,31319,"0,187500173503502"
PrevWeek,10042,"0,149816311869313"
PrevWeek,18899,"0,243566872188169"
PrevWeek,33727,"0,157169836040987"
PrevWeek,10270,"0,151654716246073"
PrevWeek,43355,"0,356618506553395"
PrevWeek,36146,"0,151654814590071"
PrevWeek,28310,"0,211397497028762"
PrevWeek,27396,"0,133273040794366"
PrevWeek,21420,"0,178309658672165"
PrevWeek,11067,"0,190258120669174"
PrevWeek,31709,"0,241728100196219"
PrevWeek,33879,"0,185661969230822"
PrevWeek,19373,"0,240809270884682"
PrevWeek,405,"0,449449172346712"
PrevWeek,18870,"0,194853442131447"
PrevWeek,4011,"0,15992704864067"
PrevWeek,14312,"0,298713418955775"
PrevWeek,44440,"0,198529566259144"
PrevWeek,36438,"0,207720849996962"
PrevWeek,11612,"0,144301923015311"
PrevWeek,48264,"0,29319874876433"
PrevWeek,3832,"0,153493489522099"
PrevWeek,8495,"0,152573884238147"
PrevWeek,1145,"0,151655382575565"
PrevWeek,32895,"0,17003681021912"
PrevWeek,29752,"0,435661945750176"
PrevWeek,49438,"0,178308895271825"
PrevWeek,27439,"0,167279798832742"
PrevWeek,26637,"0,102941433311053"
PrevWeek,34715,"0,11856631909891"
PrevWeek,31543,"0,221507768066204"
PrevWeek,21685,"0,205882376446567"
PrevWeek,18880,"0,188419291942214"
PrevWeek,27431,"0,397058987745344"
PrevWeek,40237,"0,168199305380408"
PrevWeek,41436,"0,153493588550737"
PrevWeek,33111,"0,127757395211417"
PrevWeek,47281,"0,192096340767284"
PrevWeek,16000,"0,199448573690979"
PrevWeek,5932,"0,111213630975285"
PrevWeek,27994,"0,239890062940181"
PrevWeek,27391,"0,368566254073007"
PrevWeek,26631,"0,219669227547209"
PrevWeek,20985,"0,117647428236941"
PrevWeek,7919,"0,203125913322232"
PrevWeek,40037,"0,147059045775814"
PrevWeek,8355,"0,277573763708191"
PrevWeek,30199,"0,201287500902666"
PrevWeek,26952,"0,140625944823424"
PrevWeek,41383,"0,114890031347308"
PrevWeek,1318,"0,353860574329565"
PrevWeek,48298,"0,157169268859228"
PrevWeek,42635,"0,18933892243772"
PrevWeek,11049,"0,165441195716871"
PrevWeek,40488,"0,200368388847696"
PrevWeek,46170,"0,148897467002026"
PrevWeek,25414,"0,161764772458063"
PrevWeek,20043,"0,0937504382909764"
PrevWeek,28544,"0,164522177503596"
PrevWeek,19562,"0,215074231581316"
PrevWeek,26737,"0,109375989722424"
PrevWeek,678,"0,154412545111892"
PrevWeek,78,"0,482537029766172"
PrevWeek,46526,"0,120404965682232"
PrevWeek,22191,"0,164522343686328"
PrevWeek,28961,"0,130515360415883"
PrevWeek,38696,"0,168199433159098"
PrevWeek,12791,"0,167279940199456"
PrevWeek,24746,"0,117647439465456"
PrevWeek,27975,"0,384192023780947"
PrevWeek,2291,"0,156250988526321"
PrevWeek,25096,"0,153493610931109"
PrevWeek,36925,"0,171875964994675"
PrevWeek,6479,"0,279412017124947"
PrevWeek,28354,"0,16176513376417"
PrevWeek,45144,"0,130514805746691"
PrevWeek,6442,"0,171875414329897"
PrevWeek,746,"0,135110625884787"
PrevWeek,19194,"0,137868138764711"
PrevWeek,24113,"0,204963696937886"
PrevWeek,23495,"0,238052368220627"
PrevWeek,35901,"0,12591959562135"
PrevWeek,49084,"0,146139865890003"
PrevWeek,22280,"0,156250594225088"
PrevWeek,9004,"0,312500131460756"
PrevWeek,16893,"0,144302295224663"
PrevWeek,40678,"0,172794402725259"
PrevWeek,29871,"0,39981715896604"
PrevWeek,35583,"0,231617933118608"
PrevWeek,5927,"0,194853388592538"
PrevWeek,35393,"1,00000092530434"
PrevWeek,49645,"0,156250122747824"
PrevWeek,20415,"0,167280319055102"
PrevWeek,37227,"0,212316901674582"
PrevWeek,37641,"0,26378738826708"
PrevWeek,30886,"0,204963828356223"
PrevWeek,3462,"0,209559577020058"
PrevWeek,25218,"0,375000864954534"
PrevWeek,18911,"0,123162454147506"
PrevWeek,28444,"0,250000615988161"
PrevWeek,9507,"0,252758222679225"
PrevWeek,21778,"1,00000044974803"
PrevWeek,37248,"0,152573703947374"
PrevWeek,2220,"0,220588525790768"
PrevWeek,1414,"0,20680239125324"
PrevWeek,44460,"0,107537420880752"
PrevWeek,41734,"0,169117722149532"
PrevWeek,24717,"0,354780275882203"
PrevWeek,36149,"0,174632531072251"
PrevWeek,24800,"0,240809794804989"
PrevWeek,22780,"1,00000073078591"
PrevWeek,43189,"0,14338242321845"
PrevWeek,43369,"0,204963941904498"
PrevWeek,10878,"0,386948611333662"
PrevWeek,1767,"0,188419879953586"
PrevWeek,18817,"0,227022346762152"
PrevWeek,15062,"1,00000056015415"
PrevWeek,28076,"0,219669133888653"
PrevWeek,39794,"0,137868628949719"
PrevWeek,22614,"1,0000003127962"
PrevWeek,10584,"0,267464016890524"
PrevWeek,30894,"0,274816333179953"
PrevWeek,23203,"0,20220659467393"
PrevWeek,37985,"0,377757456228582"
PrevWeek,18245,"0,124081096548605"
PrevWeek,23776,"0,217831319531326"
PrevWeek,47781,"0,196691485890179"
